浴,保健按摩,10
牙,保健按摩,20
菜,餐饮,30
炒,餐饮,40
锅,餐饮,50
课,教育培训,60
剪,美容美发,70
烫,美容美发,80
票,门票优惠券,90
剧,门票优惠券,100
券,门票优惠券,110
箱,食品饮料,120
葡萄酒,食品饮料,300
排毒,保健按摩,310
良子,保健按摩,320
养生,保健按摩,330
足疗,保健按摩,340
日料,餐饮,350
鱼头,餐饮,360
料理,餐饮,370
沙拉,餐饮,380
香辣,餐饮,390
美食,餐饮,400
餐厅,餐饮,410
美味,餐饮,420
沙拉,餐饮,430
酒吧,餐饮,440
软饮,餐饮,450
素食,餐饮,460
特饮,餐饮,470
汉堡,餐饮,480
喷雾,化妆品,490
中样,化妆品,500
英语,教育培训,510
护理,美容美发,520
美妆,美容美发,530
美发,美容美发,540
美容,美容美发,550
美甲,美容美发,560
脱毛,美容美发,570
发型,美容美发,580
洗衣,门票优惠券,590
影城,门票优惠券,600
电影,门票优惠券,610
旅游,门票优惠券,620
公园,门票优惠券,630
摄影,摄影写真,640
写真,摄影写真,650
蛋糕,食品饮料,660
桌球,休闲娱乐,670
游戏,休闲娱乐,680
桌游,休闲娱乐,690
CS,休闲娱乐,700
瑜珈,运动健身,710
游泳,运动健身,720
健身,运动健身,730
攀岩,运动健身,740
保龄,运动健身,750
射箭,运动健身,760
马术,运动健身,770
SPA,保健按摩,1000
麻辣烫,餐饮,1010
烤 鱼,餐饮,1020
护理液,化妆品,1030
指 甲,美容美发,1040
卡丁车,休闲娱乐,1050
KTV,休闲娱乐,1060
高尔夫,运动健身,1070
威士忌,休闲娱乐,1080